Intel_ID,Intel_DateTime,Operation_ID,Threat_Level,Intel_Summary
IN365,2024-03-02 17:00:00,OP185,8,Unusual radio burst detected
IN366,2024-01-21 06:00:00,OP173,3,High-ground enemy position
IN367,2024-03-31 02:00:00,OP125,2,Enemy UAV flying low
IN368,2024-05-13 06:00:00,OP253,4,Ground disturbance spotted
IN369,2024-04-02 09:00:00,OP252,4,Enemy UAV flying low
IN370,2024-04-16 09:00:00,OP292,4,High-ground enemy position
IN371,2024-02-13 07:00:00,OP122,3,Unknown vehicle observed
IN372,2024-05-20 01:00:00,OP246,1,Possible IED indication
IN373,2024-03-09 08:00:00,OP277,7,Enemy UAV flying low
IN374,2024-01-13 15:00:00,OP097,8,Naval contact at range
IN375,2024-01-11 19:00:00,OP056,3,Possible IED indication
IN376,2024-01-15 11:00:00,OP296,9,Unusual radio burst detected
IN377,2024-01-15 15:00:00,OP200,9,Enemy UAV flying low
IN378,2024-03-21 07:00:00,OP105,8,Hostile movement spotted
IN379,2024-05-21 10:00:00,OP280,8,Naval contact at range
IN380,2024-02-09 04:00:00,OP165,4,Hostile movement spotted
IN381,2024-01-09 03:00:00,OP049,4,Thermal cluster detected
IN382,2024-01-16 13:00:00,OP268,3,Possible IED indication
IN383,2024-04-06 17:00:00,OP273,9,High-ground enemy position
IN384,2024-06-10 04:00:00,OP131,5,Enemy UAV flying low
IN385,2024-02-17 20:00:00,OP289,7,Unknown vehicle observed
IN386,2024-03-21 20:00:00,OP224,9,Suspicious heat signature
IN387,2024-02-19 10:00:00,OP106,1,Suspicious heat signature
IN388,2024-03-22 07:00:00,OP151,5,Possible IED indication
IN389,2024-04-01 23:00:00,OP279,4,Ground disturbance spotted
IN390,2024-05-28 15:00:00,OP108,10,Thermal cluster detected
IN391,2024-01-30 23:00:00,OP045,2,High-ground enemy position
IN392,2024-01-24 05:00:00,OP204,10,Thermal cluster detected
IN393,2024-04-16 16:00:00,OP135,3,High-ground enemy position
IN394,2024-04-30 22:00:00,OP197,6,Suspicious heat signature
IN395,2024-03-06 21:00:00,OP209,1,High-ground enemy position
IN396,2024-05-29 09:00:00,OP054,2,Thermal cluster detected
IN397,2024-04-10 17:00:00,OP158,2,Suspicious heat signature
IN398,2024-05-19 21:00:00,OP066,3,Enemy UAV flying low
IN399,2024-01-10 12:00:00,OP230,3,Thermal cluster detected
